Arthan1A-chunk-0017.smt2: "0.0003114240000000":str
Arthan1A-chunk-0018.smt2: "0.0897459580000000":str
Arthan1A-chunk-0019.smt2: "0.0003849680000000":str
Arthan1A-chunk-0020.smt2: "0.0004143710000000":str
Arthan1A-chunk-0021.smt2: "0.0873607900000000":str
Arthan1A-chunk-0022.smt2: "0.0004210070000000":str
Arthan1C-chunk-0002.smt2: "0.0002873990000000":str
Arthan1C-chunk-0003.smt2: "0.0946904100000000":str
Arthan1C-chunk-0004.smt2: "0.0002886560000000":str
Arthan1C-chunk-0005.smt2: "0.0002873990000000":str
Arthan1C-chunk-0007.smt2: "0.0004337870000000":str
ArthanKM2-chunk-0002.smt2: "0.0003483710000000":str
ArthanKM2-chunk-0003.smt2: "0.0932018710000000":str
ArthanKM2-chunk-0004.smt2: "0.0002915200000000":str
ArthanKM2-chunk-0005.smt2: "0.0003831520000000":str
ArthanKM2-chunk-0007.smt2: "0.0003478120000000":str
ArthanM2-chunk-0005.smt2: "0.0002601610000000":str
ArthanM2-chunk-0007.smt2: "0.0003091890000000":str
ArthanM2-chunk-0009.smt2: "0.0004458000000000":str
asin-8-chunk-0018.smt2: "0.0920879640000000":str
asin-8-chunk-0019.smt2: "0.0979988160000000":str
asin-8-chunk-0020.smt2: "0.1019027640000000":str
asin-8-chunk-0021.smt2: "0.0943398730000000":str
asin-8-chunk-0022.smt2: "0.1038590320000000":str
asin-8-chunk-0023.smt2: "0.0892079670000000":str
asin-8-chunk-0024.smt2: "0.0929311640000000":str
asin-8-chunk-0025.smt2: "0.1014288870000000":str
asin-8-chunk-0026.smt2: "0.0972211280000000":str
asin-8-chunk-0028.smt2: "0.0938832470000000":str
asin-8-chunk-0033.smt2: "0.0966283800000000":str
asin-8-chunk-0039.smt2: "0.0964120100000000":str
asin-8-chunk-0041.smt2: "0.0960279500000000":str
asin-8-chunk-0043.smt2: "0.0983835040000000":str
asin-8-chunk-0045.smt2: "0.0918273840000000":str
asin-8-chunk-0047.smt2: "0.0973376240000000":str
asin-8-chunk-0050.smt2: "0.1090690230000000":str
asin-8-chunk-0053.smt2: "0.0944062230000000":str
asin-8-vars4-chunk-0010.smt2: "0.0957229510000000":str
asin-8-vars4-chunk-0011.smt2: "0.0940365510000000":str
asin-8-vars4-chunk-0012.smt2: "0.0967456450000000":str
asin-8-vars4-chunk-0013.smt2: "0.0947698190000000":str
asin-8-vars4-chunk-0014.smt2: "0.0972230830000000":str
asin-8-vars4-chunk-0015.smt2: "0.0983388760000000":str
asin-8-vars4-chunk-0016.smt2: "0.0924511420000000":str
asin-8-vars4-chunk-0017.smt2: "0.1027948530000000":str
asin-8-vars4-chunk-0019.smt2: "0.0980906580000000":str
asin-8-vars4-chunk-0020.smt2: "0.0955908800000000":str
asin-8-vars4-chunk-0024.smt2: "0.1060341860000000":str
asin-8-vars4-chunk-0030.smt2: "0.1037958960000000":str
asin-8-vars4-chunk-0032.smt2: "0.0927768830000000":str
asin-8-vars4-chunk-0034.smt2: "0.0892391860000000":str
asin-8-vars4-chunk-0035.smt2: "0.0953948340000000":str
asin-8-vars4-chunk-0039.smt2: "0.0908232690000000":str
asin-8-vars4-chunk-0040.smt2: "0.1004829490000000":str
asin-8-vars4-chunk-0044.smt2: "0.1029844740000000":str
asin-8-vars4-chunk-0045.smt2: "1.2420995170000000":str
asin-8-vars4-chunk-0049.smt2: "0.0914681880000000":str
asin-8-vars4-chunk-0050.smt2: "0.8127597670000000":str
asin-8-vars4-chunk-0051.smt2: "0.1359970920000000":str
asin-8-vars4-chunk-0053.smt2: "0.7375044480000000":str
asin-8-vars4-chunk-0054.smt2: "1.2128663200000001":str
asin-8-vars4-chunk-0056.smt2: "0.0953038310000000":str
atan-problem-1-chunk-0006.smt2: "0.0967976070000000":str
atan-problem-1-chunk-0007.smt2: "0.0923711720000000":str
atan-problem-1-chunk-0008.smt2: "0.0951253140000000":str
atan-problem-1-chunk-0009.smt2: "0.0930645620000000":str
atan-problem-1-chunk-0010.smt2: "0.0928540590000000":str
atan-problem-1-chunk-0012.smt2: "0.0941165190000000":str
atan-problem-1-chunk-0016.smt2: "0.0941487860000000":str
atan-problem-1-chunk-0019.smt2: "0.1030349690000000":str
atan-problem-1-chunk-0022.smt2: "0.0958881270000000":str
atan-problem-1-chunk-0025.smt2: "0.0972567470000000":str
atan-problem-1-chunk-0026.smt2: "0.0969916280000000":str
atan-problem-1-chunk-0028.smt2: "0.0959216510000000":str
atan-problem-1-chunk-0029.smt2: "0.0916723360000000":str
atan-problem-1-chunk-0032.smt2: "0.1033060260000000":str
atan-problem-1-chunk-0033.smt2: "0.0943896710000000":str
atan-problem-1-chunk-0035.smt2: "0.0952221850000000":str
atan-problem-1-chunk-0038.smt2: "0.0956600240000000":str
atan-problem-1-chunk-0039.smt2: "0.1181675940000000":str
atan-problem-1-chunk-0040.smt2: "0.1003587010000000":str
atan-problem-1-chunk-0042.smt2: "0.0937158370000000":str
atan-problem-1-chunk-0043.smt2: "0.0944181670000000":str
atan-problem-1-chunk-0044.smt2: "0.0986239000000000":str
atan-problem-1-chunk-0045.smt2: "0.0969605480000000":str
atan-problem-1-chunk-0047.smt2: "0.0988417380000000":str
atan-problem-1-chunk-0048.smt2: "0.1036805880000000":str
atan-problem-1-chunk-0051.smt2: "0.0864124790000000":str
atan-problem-1-chunk-0052.smt2: "0.0945206240000000":str
atan-problem-1-chunk-0053.smt2: "0.0900652060000000":str
atan-problem-1-chunk-0056.smt2: "0.0991693650000000":str
atan-problem-1-chunk-0058.smt2: "0.0976941660000000":str
