atan-problem-1-chunk-0067.smt2: "0.0004151250000000":str
atan-problem-1-chunk-0068.smt2: "0.0002460440000000":str
atan-problem-1-chunk-0070.smt2: "0.0001676840000000":str
atan-problem-1-chunk-0074.smt2: "0.0003784590000000":str
atan-problem-1-chunk-0076.smt2: "6.4815350699999996":str
atan-problem-1-chunk-0081.smt2: "0.0002427240000000":str
atan-problem-1-chunk-0083.smt2: "0.0001866350000000":str
atan-problem-1-chunk-0086.smt2: "0.0003808840000000":str
atan-problem-1-chunk-0089.smt2: "0.0001747610000000":str
atan-problem-1-chunk-0093.smt2: "0.0000819330000000":str
atan-problem-1-chunk-0096.smt2: "0.0000494530000000":str
atan-problem-1-chunk-0102.smt2: "9.4666320289999994":str
atan-problem-1-chunk-0103.smt2: "0.1183414460000000":str
atan-problem-1-weak-chunk-0016.smt2: "0.0924940150000000":str
atan-problem-1-weak-chunk-0018.smt2: "0.0893965230000000":str
atan-problem-1-weak-chunk-0020.smt2: "0.0002012600000000":str
atan-problem-1-weak-chunk-0025.smt2: "0.0001462820000000":str
atan-problem-1-weak-chunk-0029.smt2: "0.0001549440000000":str
atan-problem-1-weak-chunk-0030.smt2: "0.0002214490000000":str
atan-problem-1-weak-chunk-0033.smt2: "0.0003430710000000":str
atan-problem-1-weak-chunk-0036.smt2: "0.1151479690000000":str
atan-problem-1-weak-chunk-0040.smt2: "0.0002195630000000":str
atan-problem-1-weak-chunk-0045.smt2: "0.0002391930000000":str
atan-problem-1-weak-chunk-0046.smt2: "0.0002797100000000":str
atan-problem-1-weak-chunk-0047.smt2: "0.1046600180000000":str
atan-problem-2-chunk-0015.smt2: "0.0001124020000000":str
atan-problem-2-chunk-0016.smt2: "0.0001781390000000":str
atan-problem-2-chunk-0020.smt2: "0.0002630870000000":str
atan-problem-2-chunk-0022.smt2: "0.0002862800000000":str
atan-problem-2-chunk-0025.smt2: "0.0002910300000000":str
atan-problem-2-chunk-0026.smt2: "0.0002133480000000":str
atan-problem-2-chunk-0030.smt2: "0.0001771600000000":str
atan-problem-2-chunk-0034.smt2: "0.0004135610000000":str
atan-problem-2-chunk-0037.smt2: "0.0001561340000000":str
