Arthan1A-chunk-0017.smt2: "0.0008633030000000":str
Arthan1A-chunk-0018.smt2: "0.0957445300000000":str
Arthan1A-chunk-0019.smt2: "0.0005811460000000":str
Arthan1A-chunk-0020.smt2: "0.0003151230000000":str
Arthan1A-chunk-0021.smt2: "0.0871121910000000":str
Arthan1A-chunk-0022.smt2: "0.0005964420000000":str
Arthan1C-chunk-0002.smt2: "0.0002444440000000":str
Arthan1C-chunk-0003.smt2: "0.0959428790000000":str
Arthan1C-chunk-0004.smt2: "0.0005052300000000":str
Arthan1C-chunk-0005.smt2: "0.0002381570000000":str
Arthan1C-chunk-0007.smt2: "0.0003066020000000":str
ArthanKM2-chunk-0002.smt2: "0.0004994330000000":str
ArthanKM2-chunk-0003.smt2: "0.0928658270000000":str
ArthanKM2-chunk-0004.smt2: "0.0003057640000000":str
ArthanKM2-chunk-0005.smt2: "0.0004670270000000":str
ArthanKM2-chunk-0007.smt2: "0.0002968240000000":str
ArthanM2-chunk-0005.smt2: "0.0002479350000000":str
ArthanM2-chunk-0007.smt2: "0.0002974530000000":str
ArthanM2-chunk-0009.smt2: "0.0006498700000000":str
asin-8-chunk-0018.smt2: "0.0017114520000000":str
asin-8-chunk-0019.smt2: "0.0997168750000000":str
asin-8-chunk-0020.smt2: "0.0012989020000000":str
asin-8-chunk-0021.smt2: "0.0017442070000000":str
asin-8-chunk-0022.smt2: "0.0979242680000000":str
asin-8-chunk-0023.smt2: "0.0016499920000000":str
asin-8-chunk-0024.smt2: "0.0006921940000000":str
asin-8-chunk-0025.smt2: "0.0858570790000000":str
asin-8-chunk-0026.smt2: "0.0009286060000000":str
asin-8-chunk-0028.smt2: "0.0015839230000000":str
asin-8-chunk-0033.smt2: "0.0007829860000000":str
asin-8-chunk-0039.smt2: "0.0014121840000000":str
asin-8-chunk-0041.smt2: "0.0896939320000000":str
asin-8-chunk-0043.smt2: "0.0946279150000000":str
asin-8-chunk-0045.smt2: "0.0004537570000000":str
asin-8-chunk-0047.smt2: "0.0898772650000000":str
asin-8-chunk-0050.smt2: "0.0007324920000000":str
asin-8-chunk-0053.smt2: "0.0996468260000000":str
asin-8-vars4-chunk-0010.smt2: "0.0936053740000000":str
asin-8-vars4-chunk-0011.smt2: "0.0936692780000000":str
asin-8-vars4-chunk-0012.smt2: "0.0935998570000000":str
asin-8-vars4-chunk-0013.smt2: "0.0916207050000000":str
asin-8-vars4-chunk-0014.smt2: "0.0931566470000000":str
asin-8-vars4-chunk-0015.smt2: "0.0984334800000000":str
asin-8-vars4-chunk-0016.smt2: "0.0987622210000000":str
asin-8-vars4-chunk-0017.smt2: "0.0979876160000000":str
asin-8-vars4-chunk-0019.smt2: "0.0970782870000000":str
asin-8-vars4-chunk-0020.smt2: "0.0936637620000000":str
asin-8-vars4-chunk-0024.smt2: "0.1002327230000000":str
