atan-problem-1-chunk-0067.smt2: "0.0001064440000000":str
atan-problem-1-chunk-0068.smt2: "0.0001979400000000":str
atan-problem-1-chunk-0070.smt2: "0.0001388510000000":str
atan-problem-1-chunk-0074.smt2: "0.0003543220000000":str
atan-problem-1-chunk-0076.smt2: "6.5864836110000002":str
atan-problem-1-chunk-0081.smt2: "0.0005568010000000":str
atan-problem-1-chunk-0083.smt2: "0.0003038240000000":str
atan-problem-1-chunk-0086.smt2: "0.0005510740000000":str
atan-problem-1-chunk-0089.smt2: "0.0001489090000000":str
atan-problem-1-chunk-0093.smt2: "0.0001704910000000":str
atan-problem-1-chunk-0096.smt2: "0.0000615330000000":str
atan-problem-1-chunk-0102.smt2: "9.3792960080000007":str
atan-problem-1-chunk-0103.smt2: "0.2386377050000000":str
atan-problem-1-weak-chunk-0016.smt2: "0.0982791660000000":str
atan-problem-1-weak-chunk-0018.smt2: "0.0002367020000000":str
atan-problem-1-weak-chunk-0020.smt2: "0.0935136200000000":str
atan-problem-1-weak-chunk-0025.smt2: "0.0909339210000000":str
atan-problem-1-weak-chunk-0029.smt2: "0.0936677670000000":str
atan-problem-1-weak-chunk-0030.smt2: "0.0003953890000000":str
atan-problem-1-weak-chunk-0033.smt2: "0.0002831480000000":str
atan-problem-1-weak-chunk-0036.smt2: "0.0003878450000000":str
atan-problem-1-weak-chunk-0040.smt2: "0.0002843360000000":str
atan-problem-1-weak-chunk-0045.smt2: "0.0901786730000000":str
atan-problem-1-weak-chunk-0046.smt2: "0.0002196600000000":str
atan-problem-1-weak-chunk-0047.smt2: "0.0002939740000000":str
atan-problem-2-chunk-0015.smt2: "0.0930050560000000":str
atan-problem-2-chunk-0016.smt2: "0.0918451530000000":str
atan-problem-2-chunk-0020.smt2: "0.0987011370000000":str
atan-problem-2-chunk-0022.smt2: "0.1048272480000000":str
atan-problem-2-chunk-0025.smt2: "0.0985393770000000":str
atan-problem-2-chunk-0026.smt2: "0.0996117670000000":str
atan-problem-2-chunk-0030.smt2: "0.0941743890000000":str
atan-problem-2-chunk-0034.smt2: "0.0919867100000000":str
atan-problem-2-chunk-0037.smt2: "0.0942815040000000":str
atan-problem-2-chunk-0039.smt2: "0.0947024550000000":str
atan-problem-2-chunk-0040.smt2: "0.0999924590000000":str
atan-problem-2-chunk-0041.smt2: "0.0002872700000000":str
atan-problem-2-chunk-0045.smt2: "0.0003268720000000":str
atan-problem-2-chunk-0047.smt2: "0.0004003470000000":str
atan-problem-2-chunk-0051.smt2: "0.0002042250000000":str
atan-problem-2-chunk-0054.smt2: "0.0863666130000000":str
atan-problem-2-chunk-0056.smt2: "0.0940355120000000":str
atan-problem-2-chunk-0058.smt2: "0.0003186990000000":str
atan-problem-2-chunk-0060.smt2: "0.0003370680000000":str
atan-problem-2-chunk-0064.smt2: "0.1024872260000000":str
atan-problem-2-chunk-0070.smt2: "0.0005772630000000":str
atan-problem-2-chunk-0071.smt2: "0.0003291060000000":str
atan-problem-2-chunk-0075.smt2: "0.0003063370000000":str
atan-problem-2-chunk-0078.smt2: "0.0988994440000000":str
atan-problem-2-chunk-0080.smt2: "0.0943894560000000":str
atan-problem-2-chunk-0085.smt2: "0.0926180660000000":str
atan-problem-2-chunk-0087.smt2: "0.0943793290000000":str
atan-problem-2-chunk-0088.smt2: "0.0003996490000000":str
atan-problem-2-chunk-0091.smt2: "0.0846766370000000":str
atan-problem-2-chunk-0092.smt2: "0.0920223660000000":str
atan-problem-2-chunk-0093.smt2: "0.0994817990000000":str
atan-problem-2-chunk-0096.smt2: "0.0898534220000000":str
